rgb_r_median	rgb_g_median	rgb_b_median	rgb_r_std	rgb_g_std	rgb_b_std	rgb_r_skew	rgb_g_skew	rgb_b_skew	hsv_h_median	hsv_s_median	hsv_v_median	hsv_h_std	hsv_s_std	hsv_v_std	hsv_h_skew	hsv_s_skew	hsv_v_skew	Lab_L_median	Lab_a_median	Lab_b_median	Lab_L_std	Lab_a_std	Lab_b_std	Lab_L_skew	Lab_a_skew	Lab_b_skew	CIECAM02_J	CIECAM02_M	CIECAM02_h_cam	yuv_y	yuv_u	yuv_v	cmyk_c	cmyk_m	cmyk_y	cmyk_k	rg_ratio_median	rb_ratio_median	bg_ratio_median	orange_intensity	saturation	yellow_component	SampleName	BatchID	Concentration
159.0	86.0	27.0	2.923973278855045	3.5535695548024275	2.063951241451349	-1.7763870649818168	-0.1217855746309734	0.3443995705485292	0.0739348370927318	0.8271604938271604	0.6235294117647059	0.0027228517143382	0.0122732888942397	0.0114665618778608	0.4700462955704364	-0.543782322155803	-1.7763870649497857	44.45487597872521	25.81176926504441	45.09931861156999	1.1200497627765638	1.6141008148721765	0.7515092385703678	-0.967789760533448	-0.6491295904119114	-1.9709595046883368	44.45487597872521	51.963409932565	1.050969664511045	101.0	92.0	178.0	0.0	0.45962655544281	0.8271591663360596	0.3764705657958984	1.8505747318267824	5.78571367263794	0.3181818127632141	118.0	-3.76470504152264	0.5403726674511015	batch-2025-04-02_1	batch-2025-04-02	12.02
122.0	38.0	7.0	2.803419195775785	2.719366140627438	1.624577762268438	-1.599191890080441	0.3260648433513205	0.2679013775413587	0.0445402298850574	0.9411764705882352	0.4784313725490196	0.0021890532929406	0.0125785952057005	0.0109938007677504	0.3529748755667961	-0.2060621433498891	-1.5991918901024076	28.201224912909588	35.002345400723335	36.9885591767652	0.952646305145838	0.8632510982404569	0.7392786720557819	-0.6912812684695143	-0.6391634088863486	-2.0850647929596304	28.201224912909588	50.9246275737447	0.8129809539109311	60.0	102.0	181.0	0.0	0.6890741586685181	0.9411744475364684	0.5215686559677124	3.216216325759888	16.999998092651367	0.1944444477558136	82.2	0.870370372770919	0.3109243671350893	batch-2025-04-02_2	batch-2025-04-02	136.74
97.0	24.0	6.0	4.95559517866216	2.443732899394439	1.311600100220408	-0.8052815681604377	0.3852844894099045	0.3846466224535083	0.0336879432624113	0.9375	0.3803921568627451	0.0023175696956532	0.0129211175841815	0.0194337065829876	0.291312786878834	-0.3483348124240699	-0.8052815681671434	21.01249049660916	31.66872845770072	28.586195657804225	1.379117639825094	1.2323690203009514	1.6656452206165149	-0.5289109299999867	-1.1266416454385066	-0.8583550240938251	21.01249049660916	42.66238324699932	0.7342845341102772	44.0	110.0	174.0	0.0	0.7499979734420776	0.9374974966049194	0.6196078062057495	3.999999761581421	15.99999713897705	0.2499999850988388	64.39999999999999	0.8571428605442176	0.2499999975	batch-2025-04-02_3	batch-2025-04-02	342.27
76.0	15.0	3.0	3.915148758769336	1.6825514628280844	1.3370365717480892	-0.3764349513666066	0.086795506234879	0.4310618618482273	0.0273972602739726	0.96	0.2980392156862745	0.0016948512742783	0.0158914343073722	0.0153535245442007	0.3901618160321757	-0.2720601886607766	-0.3764349513857821	14.872949310208313	27.82005473860972	21.59236862021264	1.1274374123465478	0.9639206104625704	1.2390588566109968	-0.3084829962726552	-0.4970868448319641	-0.8591926969788031	14.872949310208313	35.216272208886394	0.6600243945902469	32.0	114.0	167.0	0.0	0.7974658012390137	0.9599967002868652	0.7019608020782471	4.937499523162842	24.99999237060547	0.199999988079071	49.2	0.9042553222046174	0.2025316430059285	batch-2025-04-02_4	batch-2025-04-02	593.77
110.0	31.0	10.0	4.095882631771385	2.6150915396153653	1.7035754819181173	-1.5159761659676734	0.1451312623005058	-0.1042750090925584	0.0352564102564102	0.90990990990991	0.4313725490196078	0.0024434270066628	0.0140728904219713	0.0160622848304749	0.2530937676131492	-0.0787727702456401	-1.5159761659658988	24.736956465970124	33.95355895326585	31.78177012694581	1.1550638095634922	1.2671952177440575	1.0295770823217734	-1.213003633609722	-0.7502203421431085	-1.5589025375547885	24.736956465970124	46.5072583366825	0.7523717956954187	52.0	107.0	179.0	0.0	0.7222204804420471	0.9099078178405762	0.5686274766921997	3.5999996662139893	11.099998474121094	0.3333333134651184	74.6	0.8013245072584535	0.2777777752057613	batch-2025-04-02_5	batch-2025-04-02	333.3
60.0	14.0	3.0	3.824062029600371	3.166127573983152	1.7072455023565134	-0.1759068373533535	0.5226217230757174	1.516328294395004	0.0344827586206896	0.9491525423728812	0.2352941176470588	0.0049573462906819	0.0257878798266138	0.0149963216847074	-0.3410108449625492	-1.4681174040537093	-0.175906837358243	11.161710252076125	21.78871282812588	16.367645656707523	1.4306680184938372	0.7319730052037746	1.735892138156832	0.1334209118875942	-2.105274094455494	-0.412036683139475	11.161710252076125	27.251565662362843	0.6442676273410567	27.0	116.0	158.0	0.0	0.7666634321212769	0.9491484761238098	0.7647058963775635	4.285714149475098	19.66666030883789	0.2307692170143127	39.6	0.8800000047999998	0.2333333294444445	batch-2025-04-02_7	batch-2025-04-02	383.43
75.0	15.0	3.0	5.826292733456048	2.3265387002179407	1.504210272913614	-0.5226757390453307	0.1256793871392098	0.2814337401095871	0.0273972602739725	0.9571428571428572	0.2941176470588235	0.0021429912416602	0.0175435466806937	0.0228482067978685	0.0570992770681897	-0.0898313587160868	-0.5226757390583897	14.872949310208313	27.11939490042378	21.46568464945521	1.657606562292865	1.4455033899631249	1.9836224118094223	-0.4289579585893264	-0.7303865367716268	-0.8384459537590746	14.872949310208313	34.58666212913568	0.6695519802019207	32.0	114.0	166.0	0.0	0.7974658012390137	0.9571393132209778	0.7058823108673096	4.937499523162842	23.33332633972168	0.2142857015132904	49.2	0.8977272762138429	0.2025316430059285	batch-2025-04-02_8	batch-2025-04-02	588.5
82.0	17.0	4.0	4.638131073595451	1.8396815565177231	1.274887148276137	-1.0794913722078527	0.0386526577229206	-0.3592869434719209	0.0269607843137254	0.948051948051948	0.3215686274509804	0.0023579274484877	0.0144015624928378	0.0181887493082211	0.4692935949312155	0.3421424851679432	-1.0794913722224146	16.482199740654494	29.305538083577527	22.79059042008398	1.2792998570364147	1.2649931531196246	1.5083447708219984	-0.9727969856589762	-1.0493757286907834	-0.8585529954726319	16.482199740654494	37.12446058953633	0.6609877620656214	35.0	114.0	169.0	0.0	0.7926804423332214	0.948048770427704	0.6784313917160034	4.82352876663208	19.24999618530273	0.2499999701976776	53.39999999999999	0.8762886636199383	0.2073170706424747	batch-2025-04-02_9	batch-2025-04-02	447.28
87.0	20.0	5.0	5.118209146003413	2.293001367164383	1.5012636376702375	-1.0951481582136022	-0.1168896010350691	-0.0362582271466756	0.0308641975308641	0.9347826086956522	0.3411764705882353	0.0022107364299075	0.0157428078782192	0.0200714084157002	0.0514582901111986	0.0656730492456078	-1.0951481582289786	18.214607729052496	29.51249715316473	25.09444925925191	1.4391837783877226	1.3012397298732277	1.6397062975168422	-0.952818390830108	-1.1345794544962815	-1.1552852326578693	18.214607729052496	38.73911294597135	0.7046676715694082	39.0	112.0	170.0	0.0	0.7640427947044373	0.9347800016403198	0.6588234901428223	4.238094806671143	15.333331108093262	0.2727272510528564	57.2	0.85000000375	0.2359550535285949	batch-2025-04-02_12	batch-2025-04-02	389.23
75.0	15.0	3.0	5.082043187666522	2.166999210454513	1.4905697003580614	-0.5912195106465711	0.196056894184549	0.5880957417174115	0.0273972602739726	0.958904109589041	0.2941176470588235	0.0020532199605783	0.0178360897670137	0.019929581128106	0.1882461413544205	-0.4165915168309315	-0.5912195106572673	14.80881325287204	27.032355105247152	21.46568464945521	1.4650332175434353	1.258439733718271	1.7175606980439513	-0.4461299512138047	-0.9207354257220028	-0.9371669113834712	14.80881325287204	34.51845651250993	0.6711169384777345	32.0	114.0	166.0	0.0	0.7972944974899292	0.95890074968338	0.7058823108673096	4.933332920074463	24.33332633972168	0.2142857015132904	48.8	0.9000000033333332	0.202702699963477	batch-2025-04-02_13	batch-2025-04-02	653.93
95.0	22.0	5.0	5.0407881643602055	2.121865359743929	1.1744301541531743	-1.1494499471989617	-0.1491652700183155	-0.1341647624861231	0.0329457364341085	0.9473684210526316	0.3725490196078431	0.0022934272598998	0.0118792027076936	0.0197677967229888	-0.0414995409500368	0.1986217490082655	-1.149449947196876	20.10888832145533	31.77098145082763	28.28608827920825	1.380239524455505	1.2313968608076569	1.7117321284103575	-0.9924942175854964	-1.3890434563966712	-1.064520601894076	20.10888832145533	42.53819521897933	0.7274367978114629	42.0	110.0	174.0	0.0	0.7659553289413452	0.9473658800125122	0.6274509429931641	4.272727012634277	18.99999618530273	0.2272727042436599	62.2	0.8780487834622248	0.234042550701675	batch-2025-04-02_14	batch-2025-04-02	349.13
109.0	31.0	9.0	5.591574193831179	3.236234477083474	1.9757238231690104	-1.2176528592092224	-0.1642620115188986	-0.3699912784878967	0.0378006872852233	0.9174311926605504	0.4274509803921568	0.0023653308043559	0.0158480977487507	0.0219277419365973	0.3350564975348051	0.4182223210104725	-1.217652859207198	24.3235251663108	32.58688387216269	31.541185584243248	1.6399512182392708	1.203582734927089	1.4448460718415157	-0.9779641817032496	-0.9974499981536128	-1.5971970029206477	24.3235251663108	45.35142102026673	0.7690932032100949	52.0	107.0	177.0	0.0	0.7155946493148804	0.9174290299415588	0.5725489854812622	3.5161287784576416	12.111109733581545	0.2903225719928741	73.19999999999999	0.8175675712655222	0.2844036671155627	batch-2025-04-02_15	batch-2025-04-02	152.68
142.0	56.0	17.0	4.4569566053836205	3.891672122286259	2.238026762705379	-1.1358856391147305	0.2106548655915366	0.414464445415048	0.0519125683060109	0.8787878787878788	0.5568627450980392	0.0027515868475355	0.0151047308591581	0.0174782611975859	0.537645309128778	-0.617546578473156	-1.1358856391191503	35.22469158576889	33.9621600021798	39.94117315508769	1.405317632238041	1.59093139601211	1.1824713111250742	-0.7057195169180308	-0.4904605423321575	-0.9603266316737408	35.22469158576889	52.428290311799785	0.866125500521404	77.0	98.0	183.0	0.0	0.604315459728241	0.8787861466407776	0.4431372284889221	2.527272701263428	8.249999046325684	0.3050847351551056	99.8	0.7594339656683873	0.3956834503907666	batch-2025-04-02_16	batch-2025-04-02	70.59
